CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
Rust v. Sullivan,500 U.S. 173,5/23/91,1991,1990,0,0,upheld,Family Planning Services and Population Research Act of 1970,84 Stat. 1506,91-572,12/24/70,245,91,2,3,0,0,1,1,0,0,1,4,1
Chapman v. United States,500 U.S. 453,5/30/91,1991,1990,0,0,upheld,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,10/27/86,55,99,1,,1,1,1,1,0,0,1,2,1
Burns v. United States,501 U.S. 129,6/13/91,1991,1990,1,1,struck down as applied,Comprehensive Crime Control Act of 1984,98 Stat. 2014,98-473,10/12/84,80,98,1,,1,0,1,1,1,0,1,4,1
Metropolitan Washington Airports Authority v. Citizens for Abatement of Aircraft Noise,501 U.S. 252,6/17/91,1991,1990,2,1,struck down on face,"Agriculture, Rural Development, and Related Agencies Appropriations Act",100 Stat. 3341,99-591,10/30/86,56,99,6,,0,0,1,1,0,1,0,3,1
Gregory v. Ashcroft,501 U.S. 452,6/20/91,1991,1990,2,1,struck down on face,Fair Labor Standards Amendments of 1974,88 Stat. 74,93-259,4/8/74,206,93,5,,0,0,0,1,0,0,0,4,1
Freytag v. Commissioner,501 U.S. 868,6/27/91,1991,1990,0,0,upheld,Tax Reform Act of 1986,100 Stat. 2085,99-514,10/22/86,56,99,6,,1,0,1,1,0,0,1,0,1
Peretz v. United States,501 U.S. 923,6/27/91,1991,1990,0,0,upheld,Federal Magistrates Act,82 Stat. 1107,90-578,10/17/68,284,90,6,,0,0,1,1,0,0,1,4,1
Willy v. Coastal Corp.,503 U.S. 131,3/3/92,1992,1990,0,0,upheld,Judiciary and Judicial Procedure Act,62 Stat. 961,80-773,6/25/48,537,80,6,,0,0,0,1,0,0,0,0,0
National Railroad Passenger Corp. v. Boston & Maine Corp.,503 U.S. 407,3/25/92,1992,1990,0,0,upheld,Rail Passenger Service Act of 1970,84 Stat. 1327,91-518,10/30/70,269,91,4,,1,0,1,1,1,0,1,3,1
Robertson v. Seattle Audubon Society,503 U.S. 429,3/25/92,1992,1990,0,0,upheld,103 Stat. 745,103 Stat. 745,101-121,10/23/89,29,101,6,,0,0,1,1,1,0,1,0,1
Department of Commerce v. Montana,503 U.S. 442,3/31/92,1992,1990,0,0,upheld,55 Stat. 761,55 Stat. 761,77-291,11/15/41,616,77,3,,0,0,1,1,1,0,1,0,1
Lujan v. Defenders of Wildlife,504 U.S. 555,6/12/92,1992,1990,1,1,struck down as applied,Endangered Species Act of 1973,87 Stat. 900,93-205,12/28/73,234,93,6,,1,0,1,1,1,0,1,2,1
New York v. United States,505 U.S. 144,6/19/92,1992,1990,2,1,struck down on face,Low-Level Radioactive Waste Policy Amendments Act of 1985,99 Stat. 1850,99-240,1/15/86,77,99,5,,0,0,1,1,1,1,1,3,1
Reno v. Flores,507 U.S. 292,3/23/92,1992,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 208,82-414,6/27/52,477,82,1,,1,0,1,1,1,0,1,2,1
Rowland v. California Men's Colony,506 U.S. 194,1/12/93,1993,1990,0,0,upheld,73 Stat. 590,73 Stat. 590,86-321,9/21/59,400,86,2,,0,0,0,1,1,0,0,4,1
Federal Communications Commission v. Beach Communications,508 U.S. 307,6/1/93,1993,1990,0,0,upheld,Cable Communications Policy Act of 1984,98 Stat. 2779,98-549,10/30/84,104,98,3,4,1,0,1,1,1,0,1,0,1
Concrete Pipe & Products v. Construction Laborers Pension Trust,508 U.S. 602,6/14/93,1993,1990,0,0,upheld,Multiemployer Pension Plan Amendments of 1980,94 Stat. 1208,96-364,9/26/80,153,96,1,4,0,0,0,1,0,0,0,0,1
United States v. Edge Broadcasting Co.,509 U.S. 418,6/25/93,1993,1990,0,0,upheld,Charity Games Advertising Clarification Act of 1988,102 Stat. 3206,100-625,11/7/88,55,100,2,,0,0,1,1,1,0,1,2,1
Alexander v. United States,509 U.S. 544,6/28/93,1993,1990,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 941,91-452,10/15/70,272,91,2,,1,1,1,1,0,0,1,4,1
Weiss v. United States,510 U.S. 163,1/19/94,1994,1990,0,0,upheld,Military Justice Act of 1968,82 Stat. 1335,90-632,10/24/68,303,90,6,1,0,0,1,1,0,0,1,0,1
Thunder Basin Coal Co. v. Reich,510 U.S. 200,1/19/94,1994,1990,0,0,upheld,Federal Mine Safety and Health Amendments Act of 1977,91 Stat. 1290,95-164,11/9/77,195,95,1,,0,0,1,1,0,0,1,0,1
"Posters 'N' Things, Ltd. v. United States",511 U.S. 513,5/23/94,1994,1990,0,0,upheld,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,10/27/86,91,99,1,,1,1,1,1,0,0,1,0,1
Nichols v. United States,511 U.S. 738,6/6/94,1994,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1988,98-473,10/12/84,116,98,1,,1,1,1,1,0,0,1,3,1
United States v. Carlton,512 U.S. 26,6/13/94,1994,1990,0,0,upheld,Omnibus Budget Reconciliation Act of 1987,101 Stat. 1330,100-203,12/22/87,78,100,1,,0,0,1,1,1,0,1,0,1
Reed v. Farley,512 U.S. 339,6/20/94,1994,1990,0,0,upheld,Interstate Agreement on Detainers Act,84 Stat. 1397,91-538,12/9/70,282,91,1,,0,0,1,1,0,0,0,4,1
United States v. X-Citement Video,513 U.S. 64,11/29/94,1994,1990,1,1,struck down as applied,Protection of Children Against Sexual Exploitation Act,92 Stat. 7,95-225,2/6/78,201,95,1,2,0,0,1,1,1,0,1,2,1
Lebron v. National Railroad Passenger Corp.,513 U.S. 374,2/21/95,1995,1990,1,1,struck down as applied,Rail Passenger Service Act of 1970,84 Stat. 1330,91-518,10/30/70,304,91,1,,1,0,0,1,1,0,1,1,1
United States v. National Treasury Empoloyees Union,513 U.S. 454,2/22/95,1995,1990,1,1,struck down as applied,Ethics Reform Act of 1989,103 Stat. 1767,101-194,11/30/89,63,101,2,,1,0,1,1,1,1,1,4,1
Plaut v. Spendthrift Farm,514 U.S. 211,4/18/95,1995,1990,1,1,struck down as applied,Federal Deposit Insurance Corporation Improvement Act of 1991,105 Stat. 2236,102-242,12/19/91,40,102,6,,1,0,1,1,0,1,0,2,1
Rubin v. Coors Brewing Co.,514 U.S. 476,4/19/95,1995,1990,2,1,struck down on face,Federal Alcohol Administration Act,49 Stat. 977,74-401,8/29/35,716,74,2,,0,0,1,1,0,1,1,0,1
United States v. Lopez,514 U.S. 549,4/26/95,1995,1990,2,1,struck down on face,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 1796,103-322,9/13/94,7,103,5,,1,0,1,1,0,1,1,4,1
Ryder v. United States,515 U.S. 177,6/12/95,1995,1990,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,466,84,6,,0,0,1,1,1,0,1,0,1
Witte v. United States,515 U.S. 389,6/14/95,1995,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1988,98-473,10/12/84,128,98,1,,1,0,1,1,0,0,1,1,1
Wisconsin v. City of New York,517 U.S. 1,3/20/96,1996,1990,0,0,upheld,Census Act,68 Stat. 1012,83-740,8/31/54,499,83,3,,0,0,1,1,1,0,0,0,0
Seminole Tribe v. Florida,517 U.S. 44,3/27/96,1996,1990,2,1,struck down on face,Indian Gambling Regulatory Act,102 Stat. 2475,100-497,10/17/88,89,100,5,,0,0,1,1,0,1,0,4,1
United Food & Commercial Workers Union Local 751 v. Brown Group,517 U.S. 544,5/13/96,1996,1990,0,0,upheld,Worker Adjustment and Retraining Notification Act,102 Stat. 890,100-379,8/4/88,93,100,6,,1,0,1,1,1,0,0,0,1
Loving v. United States,517 U.S. 748,6/3/96,1996,1990,0,0,upheld,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,478,84,6,1,0,0,1,1,0,0,1,0,1
United States v. International Business Machines,517 U.S. 843,6/10/96,1996,1990,1,1,struck down as applied,Renegotiation Act Extension,68A Stat. 521,83-746,8/16/54,502,83,4,,1,0,1,1,0,1,1,2,0
United States v. Ursery,518 U.S. 267,6/24/96,1996,1990,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1276,91-513,10/27/70,308,91,1,,1,0,1,1,1,0,1,1,1
Colorado Republican Federal Campaign Committee v. Federal Election Commission,518 U.S. 604,6/26/96,1996,1990,1,1,struck down as applied,Federal Election Campaign Act Amendments of 1976,90 Stat. 486,94-283,5/11/76,241,94,2,,0,0,1,1,0,1,1,6,1
Felker v. Turpin,518 U.S. 651,6/28/96,1996,1990,0,0,upheld,Antiterrorism and Effective Death Penalty Act of 1996,110 Stat. 1217,104-132,4/24/96,2,104,6,1,0,0,1,1,0,0,0,0,0
Denver Area Educational Telecommuncations Consortium v. Federal Communications Commission,518 U.S. 727,6/28/96,1996,1990,2,1,struck down on face,Cable Television Consumer Protection and Competition Act of 1992,106 Stat. 1486,102-385,10/5/92,44,102,2,,1,1,1,1,1,1,1,6,1
United States v. Watts,519 U.S. 148,1/6/97,1997,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1987,98-473,10/12/84,147,98,1,,1,1,0,1,1,0,1,2,1
Babbitt v. Youpee,519 U.S. 234,1/21/97,1997,1990,2,1,struck down on face,Indian Land Consolidation Act Amendments,98 Stat. 3173,98-608,10/30/84,147,98,4,,0,0,1,1,0,1,1,1,1
Turner Broadcasting System v. Federal Communications Commission,520 U.S. 180,3/31/97,1997,1990,0,0,upheld,Cable Television Consumer Protection and Competition Act of 1992,106 Stat. 1460,102-385,10/5/92,53,102,2,,1,1,1,0,0,0,1,4,1
Edmond v. United States,520 U.S. 651,5/19/97,1997,1990,0,0,upheld,Federal Aviation Act of 1958,72 Stat. 746,85-726,8/23/58,465,85,6,,1,0,1,1,0,0,1,0,1
Glickman v. Wileman Bros. & Elliott,521 U.S. 457,6/25/97,1997,1990,0,0,upheld,Agricultural Marketing Agreement Act of 1937,50 Stat. 246,75-137,6/3/37,720,75,2,,0,0,1,1,1,0,1,4,1
City of Boerne v. Flores,521 U.S. 507,6/25/97,1997,1990,2,1,struck down on face,Religious Freedom Restoration Act of 1993,107 Stat. 1488,103-141,11/16/93,43,103,2,,1,1,1,1,1,1,0,3,1
Reno v. American Civil Liberties Union,521 U.S. 844,6/26/97,1997,1990,2,1,struck down on face,Telecommunications Act of 1996,110 Stat. 56,104-104,2/8/96,16,104,2,,1,0,1,0,0,1,1,2,0
Printz v. United States,521 U.S. 898,6/27/97,1997,1990,2,1,struck down on face,Brady Handgun Violence Prevention Act,107 Stat. 1536,103-159,11/30/93,43,103,5,,1,1,1,1,1,1,1,4,1
Salinas v. United States,522 U.S. 52,12/2/97,1997,1990,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 941,91-452,10/15/70,326,91,5,,1,1,1,1,0,0,1,0,1
Hudson v. United States,522 U.S. 93,12/10/97,1997,1990,0,0,upheld,"Financial Institutions Reform, Recovery, and Enforcement Act of 1989",103 Stat. 469,101-73,8/9/89,100,101,1,,1,0,1,1,0,0,1,0,1
Brogan v. United States,522 U.S. 398,1/26/98,1998,1990,0,0,upheld,Criminal Code Amendments,48 Stat. 996,73-394,6/18/34,775,73,1,,0,0,1,1,0,0,1,2,1
Almendarez-Torres v. United States,523 U.S. 224,3/24/98,1998,1990,0,0,upheld,Anti-Drug Abuse Act of 1988,102 Stat. 4471,100-690,11/18/88,112,100,1,,1,0,1,1,0,0,1,4,1
Feltner v. Columbia Pictures TV,523 U.S. 340,3/31/98,1998,1990,1,1,struck down as applied,U.S. Copyright Act of 1976,90 Stat. 2585,94-553,10/19/76,137,94,1,,1,0,0,1,1,1,0,0,1
United States v. United States Shoe Corp.,523 U.S. 360,3/31/98,1998,1990,1,1,struck down as applied,Water and Resources Development Act of 1986,100 Stat. 4082,99-662,11/17/86,136,99,4,,0,0,1,1,0,1,1,0,1
Miller v. Albright,523 U.S. 420,4/22/98,1998,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 238,82-414,6/27/52,550,82,3,,1,0,1,1,0,0,1,3,1
Federal Election Commission v. Akins,524 U.S. 11,6/1/98,1998,1990,0,0,upheld,Federal Election Campaign Act of 1971,86 Stat. 11,92-225,2/7/72,316,92,6,,1,0,1,1,0,0,1,3,1
United States v. Bajakajian,524 U.S. 321,6/22/98,1998,1990,1,1,struck down as applied,Anti-Drug Abuse Act of 1986,100 Stat. 3207,99-570,10/27/86,140,99,1,,1,1,1,1,0,0,1,4,1
Clinton v. City of New York,524 U.S. 417,6/25/98,1998,1990,2,1,struck down on face,Line Item Veto Act,110 Stat. 1200,104-130,4/9/96,26,104,6,,1,1,1,0,0,1,1,3,0
Eastern Enterprises v. Apfel,524 U.S. 498,6/25/98,1998,1990,1,1,struck down as applied,Energy Policy Act of 1992,106 Stat. 3037,102-486,10/24/92,68,102,1,,1,1,1,1,1,1,1,5,1
National Endowment of the Arts v. Finley,524 U.S. 569,6/25/98,1998,1990,0,0,upheld,Department of the Interior and Related Agencies Appropriations Act of 1991,104 Stat. 1963,101-512,11/5/90,92,101,2,,0,0,1,1,1,0,1,1,1
United States v. Balsys,524 U.S. 666,6/25/98,1998,1990,0,0,upheld,Immigration and Nationality Act,66 Stat. 198,82-414,6/27/52,552,82,1,,1,1,1,1,1,0,1,2,1
Reno v. American-Arab Anti-Discrimination Committee,525 U.S. 471,2/24/99,1999,1990,0,0,upheld,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009,104-208,9/30/96,29,104,1,,1,1,1,1,0,0,1,1,0
Saenz v. Roe,526 U.S. 489,5/17/99,1999,1990,1,1,struck down as applied,Personal Responsibility and Work Opportunity Reconciliation Act of 1996,110 Stat. 2105,104-193,8/22/96,33,104,2,3,1,1,1,1,0,0,0,2,0
Greater New Orleans Broadcasting Association v. United States,527 U.S. 173,6/14/99,1999,1990,1,1,struck down as applied,Charity Games Advertising Clarification Act of 1988,102 Stat. 3206,100-625,11/7/88,127,100,2,,0,0,1,1,1,1,1,0,1
Florida Prepaid Postsecondary Educational Expense Board v. College Savings Bank,527 U.S. 627,6/23/99,1999,1990,2,1,struck down on face,Patent and Plant Variety Protection Remedy Clarification Act,106 Stat. 4230,102-560,10/28/92,80,102,5,,0,0,1,1,1,1,0,4,1
College Savings Bank v. Florida Prepaid Postsecondary Educational Expense Board,527 U.S. 666,6/23/99,1999,1990,2,1,struck down on face,Trademark Remedy Clarification Act,106 Stat. 3567,102-542,10/27/92,80,102,5,,0,0,1,1,0,1,0,4,1
Alden v. Maine,527 U.S. 706,6/23/99,1999,1990,1,1,struck down as applied,Fair Labor Standards Amendments of 1974,88 Stat. 55,93-259,4/8/74,302,93,5,,0,0,1,1,0,1,0,4,1
Reno v. Condon,528 U.S. 141,1/12/00,2000,2000,0,0,upheld,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 2099,103-322,9/13/94,64,103,5,,1,0,1,1,1,0,1,0,1
Kimel v. Florida Board of Regents,528 U.S. 62,1/11/00,2000,2000,2,1,struck down on face,Fair Labor Standards Amendments of 1974,88 Stat. 61,93-259,4/8/74,309,93,5,,0,0,1,1,0,1,0,6,1
United States v. Morrison,529 U.S. 598,5/15/00,2000,2000,2,1,struck down on face,Violent Crime Control and Law Enforcement Act of 1994,108 Stat. 1941,103-322,9/13/94,68,103,5,,1,0,1,1,0,1,1,4,1
Johnson v. United States,529 U.S. 694,5/15/00,2000,2000,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1999,98-473,10/12/84,187,98,1,,1,0,1,1,0,0,0,1,1
"United States v. Playboy Entertainment Group, Inc.",529 U.S. 803,5/22/00,2000,2000,2,1,struck down on face,Telecommunications Act of 1996,110 Stat. 136,104-104,2/8/96,51,104,2,,1,0,1,0,0,1,0,4,0
Jones v. United States,529 U.S. 848,5/22/00,2000,2000,1,1,struck down as applied,Anti-Arson Act of 1982,96 Stat. 1319,97-298,10/12/82,211,97,5,,0,0,1,1,1,0,0,0,1
Miller v. French,530 U.S. 327,6/19/00,2000,2000,0,0,upheld,Omnibus Consolidated Rescissions and Appropriations Act of 1996,110 Stat. 1321,104-134,4/26/96,50,104,6,,0,0,1,1,1,0,0,3,0
Dickerson v. United States,530 U.S. 428,6/26/00,2000,2000,2,1,struck down on face,Omnibus Crime Control and Safe Streets Act of 1968,82 Stat. 210,90-351,6/19/68,384,90,1,6,1,1,1,1,1,1,1,2,1
Mitchell v. Helms,530 U.S. 793,6/28/00,2000,2000,0,0,upheld,Omnibus Budget Reconciliation Act of 1981,95 Stat. 469,97-35,8/13/81,226,97,2,,1,1,1,1,1,0,0,3,1
Solid Waste Agency v. United States Army Corps of Engineers,531 U.S. 159,1/9/01,2001,2000,1,1,struck down as applied,Federal Water Pollution Control Act Amendments of 1972,86 Stat. 884,92-500,10/18/72,363,92,5,,1,0,1,1,1,0,1,4,1
Board of Trustees of the University of Alabama v. Garrett,531 U.S. 356,2/21/01,2001,2000,2,1,struck down on face,Americans with Disabilities Act of 1990,104 Stat. 330,101-336,7/26/90,127,101,5,,1,0,1,1,1,1,0,4,1
Whitman v. American Trucking Association,531 U.S. 457,2/27/01,2001,2000,0,0,upheld,Clean Air Amendments of 1970,84 Stat. 1679,91-604,12/31/70,362,91,6,,1,1,1,1,1,0,1,0,1
Legal Services Corporation v. Velazquez,531 U.S. 533,2/28/01,2001,2000,2,1,struck down on face,Omnibus Consolidated Rescissions and Appropriations Act of 1996,110 Stat. 1321,104-134,4/26/96,58,104,2,,0,0,1,1,0,1,1,4,0
Bartinicki v. Vopper,532 U.S. 514,5/21/01,2001,2000,1,1,struck down as applied,Omnibus Crime Control and Safe Streets Act of 1968,82 Stat. 211,90-351,6/19/68,407,90,2,,1,0,1,1,0,1,0,3,1
United States v. Hatter,532 U.S. 557,5/21/01,2001,2000,1,1,struck down as applied,Social Security Amendments of 1983,97 Stat. 69,98-173,4/20/83,217,98,6,,1,1,1,1,1,1,1,2,1
Federal Election Commission v. Colorado Republican Federal Campaign Committee,533 U.lS. 431,6/25/01,2001,2000,0,0,upheld,Federal Election Campaign Act Amendments of 1976,90 Stat. 486,94-283,5/11/76,289,94,2,,0,0,1,1,1,0,1,4,1
Immigration and Nationalization Service v. St. Cyr,533 U.S. 289,6/25/01,2001,2000,1,1,struck down as applied,Antiterrorism and Effective Death Penalty Act of 1996,110 Stat. 1214,104-132,4/24/96,62,104,1,6,0,0,1,1,0,0,1,4,0
United States v. United Foods,533 U.S. 405,6/25/01,2001,2000,2,1,struck down on face,"Food, Agriculture, Conservation, and Trade Act of 1990",104 Stat. 3854,101-624,11/28/90,127,101,2,,1,0,1,1,0,1,1,3,1
Tuan Anh Nguyen v. Immigration and Nationalization Service,533 U.S. 53,6/11/01,2001,2000,0,0,upheld,Immigration and Nationality Act,66 Stat. 235,82-414,6/27/52,588,82,3,,1,0,1,1,0,0,1,4,1
Zadvydas v. Immigration and Nationalization Service,533 U.S. 678,6/28/01,2001,2000,1,1,struck down as applied,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009,104-208,9/30/96,57,104,1,,1,1,1,1,0,0,1,3,0
Dusenbery v. United States,534 U.S. 161,1/8/02,2002,2000,0,0,upheld,Trade and Tariff Act of 1984,98 Stat. 2984,98-573,10/30/84,207,98,1,,1,0,1,1,0,0,1,4,1
Department of Housing and Urban Development v. Rucker,535 U.S. 125,3/26/02,2002,2000,0,0,upheld,Anti-Drug Abuse Act of 1988,102 Stat. 4301,100-690,11/18/88,160,100,1,,1,1,1,1,1,0,1,0,1
Ashcroft v. Free Speech Coalition,535 U.S. 234,4/16/02,2002,2000,2,1,struck down on face,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009-26,104-208,9/30/96,67,104,2,,0,0,1,1,0,1,1,3,0
Tahoe-Sierra Preservation Council v. Tahoe Regional Planning Agency,535 U.S. 302,4/23/02,2002,2000,0,0,upheld,Taho Regional Planning Compact,83 Stat. 360,91-148,12/18/69,388,91,4,,0,0,1,1,0,0,0,3,1
Thompson v. Western States Medical Center,535 U.S. 357,4/29/02,2002,2000,2,1,struck down on face,Food and Drug Administration Modernization Act of 1997,111 Stat. 2328,105-115,11/21/97,53,105,2,,1,0,1,1,0,1,1,4,0
Ashcroft v. American Civil Liberties Union,535 U.S. 564,5/13/02,2002,2000,0,0,upheld,Omnibus Consolidated and Emergency Supplemental Appropriations Act of 1999,112 Stat. 2681,105-277,10/21/98,43,105,2,,1,1,1,1,0,0,1,1,0
Federal Maritime Commission v. South Carolina State Ports Authority,535 U.S. 743,5/28/02,2002,2000,1,1,struck down as applied,Shipping Act of 1984,98 Stat. 67,98-237,3/20/84,218,98,5,,1,0,1,1,0,0,1,4,1
Utah v. Evans,536 U.S. 452,6/20/02,2002,2000,0,0,upheld,Census Act,68 Stat. 1012,83-740,8/31/54,574,83,4,,0,0,1,0,0,0,1,4,0
BE & K Construction Company v. National Labor Relations Board,536 U.S. 516,6/24/02,2002,2000,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 158,80-101,6/23/47,660,80,2,,1,0,1,1,1,0,1,0,0
Harris v. United States,536 U.S. 545,6/24/02,2002,2000,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2028,98-473,10/12/84,212,98,1,,1,0,1,1,0,0,1,4,1
Pierce County v. Guillern,537 U.S. 129,1/14/03,2003,2000,0,0,upheld,National Highway System Designation Act of 1995,109 Stat. 591,104-59,11/28/95,86,104,5,,1,0,1,1,1,0,0,0,0
Eldred v. Ashcroft,537 U.S. 186,1/15/03,2003,2000,0,0,upheld,Sonny Bono Copyright Extension Act,112 Stat. 2827,105-298,10/27/98,51,105,4,2,0,0,1,1,0,0,1,2,0
Jinks v. Richland County,538 U.S. 456,4/22/03,2003,2000,0,0,upheld,Judicial Improvements Act of 1990,104 Stat. 5113,101-650,12/1/90,148,101,5,,1,0,1,1,1,0,0,0,1
Demore v. Hyung Joon Kim,538 U.S. 510,4/29/03,2003,2000,0,0,upheld,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009,104-208,9/30/96,79,104,1,,1,1,1,1,1,0,1,4,0
Nevada Department of Human Resources v. Hibbs,538 U.S. 721,5/27/03,2003,2000,0,0,upheld,Family and Medical Leave Act of 1993,107 Stat. 9,103-3,2/5/93,123,103,5,,0,0,1,1,0,0,0,3,1
Federal Election Commission v. Beaumont,539 U.S. 146,6/16/03,2003,2000,0,0,upheld,Federal Election Campaign Act Amendments of 1976,90 Stat. 490,94-283,5/11/76,325,94,2,,0,0,1,1,1,0,1,2,1
United States v. American Library Association,539 U.S. 194,6/23/03,2003,2000,0,0,upheld,Consolidated Appropriations Act of 2001,114 Stat. 2763,106-554,12/21/00,30,106,2,,0,0,1,0,1,0,1,3,0
Khanh Phoung Nguyen v. United States,539 U.S. 69,6/9/03,2003,2000,1,1,struck down as applied,72 Stat. 848,72 Stat. 848,85-755,8/25/58,538,85,6,1,0,0,1,1,0,0,1,4,1
McConnell v. Federal Election Commission,540 U.S. 93,12/20/03,2003,2000,2,1,struck down on face,Bipartisan Campaign Reform Act,116 Stat. 81,107-155,3/27/02,21,107,2,5,1,0,1,0,1,1,1,7,0
United States v. Flores-Montano,541 U.S. 149,3/30/04,2004,2000,0,0,upheld,Tariff Act of 1930,46 Stat. 747,71-361,6/17/30,885,71,1,,1,0,1,1,1,0,1,0,0
United States v. Lara,541 U.S. 193,4/19/04,2004,2000,0,0,upheld,105 Stat. 646,105 Stat. 646,102-137,10/28/91,150,102,5,1,0,0,1,1,1,0,1,2,1
Tennessee Student Assistance Corporation v. Hood,541 U.S. 440,5/17/04,2004,2000,0,0,upheld,Bankruptcy Reform Act of 1994,108 Stat. 4106,103-394,10/22/94,115,103,5,,0,0,0,1,0,0,0,2,1
Tennessee v. Lane,541 U.S. 509,5/17/04,2004,2000,0,0,upheld,Americans with Disabilities Act of 1990,104 Stat. 327,101-336,7/26/90,166,101,5,,0,0,1,1,0,0,0,4,1
Sabri v. United States,541 U.S. 600,5/17/04,2004,2000,0,0,upheld,Criminal Law and Procedure Technical Amendments Act of 1986,100 Stat. 3612,99-646,11/10/86,90,99,5,4,0,0,1,1,0,0,1,0,1
Hamdi v. Rumsfeld,542 U.S. 507,6/28/04,2004,2000,1,1,struck down as applied,Authorization for the Use of Military Force,115 Stat. 224,107-40,9/18/01,33,107,1,,1,0,1,1,0,0,1,5,0
United States v. Booker,543 U.S. 220,1/12/05,2005,2000,2,1,struck down on face,Controlled Substances Penalties Amendment Act,98 Stat. 1987,98-473,10/12/84,243,98,1,,1,1,1,1,0,1,1,8,1
Clark v. Martinez,543 U.S. 371,1/12/05,2005,2000,1,1,struck down as applied,Omnibus Consolidated Appropriations Act of 1997,110 Stat. 3009,104-208,9/30/96,100,104,1,,1,1,1,1,1,0,1,2,0
Cherokee Nation v. Leavitt,543 U.S. 631,3/1/05,2005,2000,1,1,struck down as applied,Omnibus Consolidated and Emergency Supplemental Appropriations Act of 1999,112 Stat. 2681,105-277,10/21/98,77,105,4,,0,0,1,1,1,0,1,0,0
Shepard v. United States,544 U.S. 13,3/7/05,2005,2000,1,1,struck down as applied,Armed Career Criminals Act,98 Stat. 2185,98-473,10/12/84,245,98,1,,0,0,1,1,1,0,1,3,1
Johanns v. Livestock Marketing Association,544 U.S. 550,5/23/05,2005,2000,0,0,upheld,Food Security Act of 1985,99 Stat. 1597,99-417,12/23/85,233,99,2,,0,0,1,1,0,0,1,3,1
Cutter v. Wilkinson,544 U.S. 709,5/31/05,2005,2000,0,0,upheld,Religious Land Use and Institutionalized Persons Act of 2000,114 Stat. 804,106-274,9/22/00,56,106,2,,0,0,1,1,1,0,0,0,0
Gonzales v. Raich,545 U.S. 1,6/6/05,2005,2000,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1242,91-513,10/27/70,416,91,5,,1,0,1,1,0,0,1,3,1
"Rumsfeld v. Forum for Academic and Institutional Rights, Inc.",126 S.Ct. 1297,3/6/06,2006,2000,0,0,upheld,Ronald W. Reagan National Defense Authorization Act for Fiscal Year 2005,118 Stat. 1912,108-375,10/28/04,17,108,2,,0,0,1,1,1,0,1,0,0
